#MinR MaxR Maxz Minr Maxr MeanR Energy AngMom
8.09701 8.98846 0.479936 8.1058 8.99115 8.55062 -153699 -1977.12
6.42561 8.4984 0.211163 6.42696 8.49919 7.52741 -161042 -1705.58
