8.41354 0.0182288 80.4276 18.4211 7.0891 -238.782
8.45928 0.035092 76.4889 19.1107 6.72357 -237.491
8.49061 0.0457281 73.887 19.4714 6.36469 -236.614
8.53854 0.0604245 70.0204 19.8645 5.67731 -235.286
8.57094 0.0692092 67.4668 20.0288 5.1343 -234.397
8.61987 0.0806187 63.6726 20.1307 4.21764 -233.066
8.65254 0.0869312 61.167 20.1041 3.55257 -232.186
8.70132 0.094309 57.4438 19.926 2.49694 -230.885
8.73351 0.0977724 54.9847 19.7175 1.76707 -230.034
8.78102 0.100722 51.3295 19.2752 0.65333 -228.789
8.81201 0.101178 48.9144 18.8968 -0.0907114 -227.984
8.85722 0.099612 45.323 18.2097 -1.19107 -226.821
8.90059 0.0954093 41.7674 17.3866 -2.25196 -225.715
8.92833 0.0912017 39.4158 16.7666 -2.92621 -225.014
8.96793 0.0829065 35.915 15.7364 -3.87185 -224.021
8.99287 0.0761455 33.5978 14.987 -4.44914 -223.399
9.02792 0.0643475 30.1453 13.7765 -5.21972 -222.532
9.04959 0.0555067 27.8579 12.9162 -5.66096 -221.999
9.0794 0.0410334 24.4465 11.5537 -6.1996 -221.27
9.09739 0.0307396 22.1841 10.602 -6.46884 -220.833
9.12141 0.0146357 18.8062 9.11763 -6.72672 -220.251
9.13539 0.00364686 16.5636 8.09489 -6.79647 -219.914
9.15319 -0.0128784 13.2115 6.51938 -6.74386 -219.486
9.16291 -0.0237265 10.9834 5.44627 -6.60658 -219.253
9.17419 -0.0394235 7.649 3.81062 -6.25718 -218.984
9.17948 -0.0493304 5.42999 2.70757 -5.93588 -218.858
9.18405 -0.0630821 2.1052 1.04195 -5.33561 -218.749
9.18483 -0.0713699 359.89 -0.0713134 -4.86541 -218.73
9.18263 -0.0822708 356.566 -1.7379 -4.07055 -218.783
9.17891 -0.088413 354.349 -2.84242 -3.48992 -218.871
9.16999 -0.0957904 351.019 -4.48207 -2.55801 -219.084
9.16183 -0.099416 348.795 -5.55956 -1.90473 -219.279
