#MinR MinRPlus MinRMinus MaxR MaxRPlus MaxRMinus Maxz MaxzPlus MaxzMinus Minr MinrPlus MinrMinus Maxr MaxrPlus MaxrMinus MeanR MeanRPlus MeanRMinus Energy EnergyPlus EnergyMinus AngMom AngMomPlus AngMomMinus 
8.10675 0.00877824 0.00760417 8.94422 0.0562869 0.0611458 0.47458 0.055728 0.0560308 8.11541 0.00659054 0.00598377 8.94685 0.0557107 0.0609026 8.5324 0.0333101 0.0359671 -153810 185.06 197.677 -1973.91 8.8962 9.10933 
8.09488 1.2933 0.0176917 8.98598 0.113832 3.37539 0.487176 0.127052 0.694135 8.10659 1.24414 0.0132593 8.98823 0.113591 3.37333 8.53909 0.325056 1.46929 -153785 2325.27 7732.93 -1974.15 180.408 139.009 
